sr_no,date,startup_name,industry_vertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
636,2017-02-08,Zepo,Consumer Internet,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000.0,2017,2
637,2017-02-08,Click2Clinic,Consumer Internet,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000.0,2017,2
638,2017-03-08,SpeedBox,Logistics,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000.0,2017,3
646,2017-08-08,New Castle Technologies,Technology,Chennai,Undisclosed investors,Seed Funding,243000.0,2017,8
647,2017-08-08,My Forex Eye,Consumer Internet,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,220000.0,2017,8
648,2017-09-08,TruxApp,Logistics,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,3100000.0,2017,9
649,2017-09-08,CroFarm,Technology,Gurgaon,Factor[e] Ventures,Seed Funding,783000.0,2017,9
652,2017-11-08,Flipkart,eCommerce,Bangalore,Softbank,Private Equity,2500000000.0,2017,11
654,2017-11-08,Ola Cabs,Consumer Internet,Gurgaon,Tekne Capital Management,Private Equity,36000000.0,2017,11
678,2017-01-07,Billion Loans,Consumer Internet,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000.0,2017,1
679,2017-03-07,Ecolibriumenergy,Technology,Ahmedabad,"Infuse Ventures, JLL",Private Equity,2600000.0,2017,3
680,2017-04-07,Droom,eCommerce,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000.0,2017,4
681,2017-05-07,Jumbotail,eCommerce,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000.0,2017,5
682,2017-05-07,Moglix,eCommerce,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000.0,2017,5
