sr_no,date,startup_name,industry_vertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
1207,2016-10-11,GolfLAN,Consumer Internet,New Delhi,"YourNest Angel Fund, iSON",Private Equity,1000000.0,2016,10
1261,2016-03-10,Mystifly,Consumer Internet,Bangalore,Recruit Holdings,Private Equity,5000000.0,2016,3
1263,2016-03-10,Uniphore,Technology,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000.0,2016,3
1264,2016-03-10,World Art Community,eCommerce,Gurgaon,Viraj Tyagi & Others,Seed Funding,200000.0,2016,3
1265,2016-04-10,Giftxoxo,eCommerce,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,450000.0,2016,4
1268,2016-04-10,India Gifts Portal,eCommerce,Noida,"Naveen Arya, Tarun Joshi",Private Equity,2000000.0,2016,4
1269,2016-04-10,Moglix,eCommerce,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000.0,2016,4
1270,2016-04-10,NetLinx,Consumer Internet,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000.0,2016,4
1272,2016-04-10,Remitr,Consumer Internet,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000.0,2016,4
1273,2016-04-10,InnerChef,Consumer Internet,Gurgaon,"Mistletoe, M&S Partners",Private Equity,2500000.0,2016,4
1274,2016-04-10,AppsDaily,Consumer Internet,Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000.0,2016,4
1278,2016-05-10,UE LifeSciences,Technology,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000.0,2016,5
1280,2016-06-10,RealBox,Technology,Noida,Hyderabad Angels,Seed Funding,300000.0,2016,6
1282,2016-06-10,GoZefo,eCommerce,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,1050000.0,2016,6
1283,2016-07-10,RayIOT,Technology,Bangalore,HAX Accelerator,Seed Funding,100000.0,2016,7
1284,2016-07-10,KOOH Sports,Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,2200000.0,2016,7
1285,2016-07-10,Flexiloans,Consumer Internet,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000.0,2016,7
1287,2016-10-10,Vithi.com,eCommerce,New Delhi,undisclosed investor,Seed Funding,375000.0,2016,10
1288,2016-11-10,Yupp TV,Consumer Internet,Bangalore,Emerald Media,Private Equity,50000000.0,2016,11
1289,2016-11-10,Deyor Camps,Consumer Internet,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,500000.0,2016,11
1341,2016-01-09,Mihup,Technology,Kolkata,Accel Partners,Private Equity,6700000.0,2016,1
1347,2016-06-09,eShakti,eCommerce,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,1350000.0,2016,6
1348,2016-06-09,CheersOye!,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,500000.0,2016,6
1350,2016-06-09,BigStylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,900000.0,2016,6
1351,2016-07-09,Zilingo,eCommerce,Bangalore,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,8000000.0,2016,7
1352,2016-07-09,Alternacare,Consumer Internet,New Delhi,Eros Labs,Seed Funding,500000.0,2016,7
1353,2016-07-09,Simplilearn,Education,Bangalore,InnoVen Capital India,Private Equity,6000000.0,2016,7
1354,2016-07-09,Prozo,eCommerce,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,315000.0,2016,7
1355,2016-08-09,TopRankers,Education,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,670000.0,2016,8
1356,2016-08-09,BuildTraders,eCommerce,Bangalore,Idein Ventures,Seed Funding,200000.0,2016,8
1357,2016-09-09,Byju\\xe2\\x80\\x99s,Education,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,50000000.0,2016,9
1360,2016-10-09,CureInstant,Consumer Internet,New Delhi,Dr. Rameshwar Kumar,Seed Funding,150000.0,2016,10
1361,2016-10-09,Poshtic,Consumer Internet,Noida,"havya Sharma, Amit Nagar",Seed Funding,450000.0,2016,10
1363,2016-12-09,Purple Style Labs,Consumer Internet,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,448000.0,2016,12
1364,2016-12-09,Inuxu,Technology,Pune,Fork Media,Private Equity,3000000.0,2016,12
1365,2016-12-09,Nykaa,eCommerce,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,12300000.0,2016,12
1366,2016-12-09,Glam Studios,Consumer Internet,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,300000.0,2016,12
1413,2016-01-08,HealthKart,eCommerce,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000.0,2016,1
1414,2016-01-08,Medinfi,Consumer Internet,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,200000.0,2016,1
1415,2016-01-08,RepairEasy,Consumer Internet,Pune,Undisclosed HNIs,Seed Funding,275000.0,2016,1
1416,2016-01-08,Voonik,eCommerce,Bangalore,InnoVen Capital,Private Equity,3000000.0,2016,1
1417,2016-01-08,Tokri,Consumer Internet,Pune,Syska LED group,Private Equity,2500000.0,2016,1
1418,2016-02-08,Sheroes,Consumer Internet,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,1800000.0,2016,2
1420,2016-02-08,Yumlane,Food & Beverage,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,1000000.0,2016,2
1422,2016-03-08,ExtraCarbon,Consumer Internet,Gurgaon,Brand Capital,Seed Funding,225000.0,2016,3
1423,2016-03-08,FlickBay,Consumer Internet,Mumbai,Paul Roy,Seed Funding,890000.0,2016,3
1424,2016-04-08,Petoo,Consumer Internet,Bangalore,Existing Investors,Seed Funding,500000.0,2016,4
1427,2016-06-08,VST Travels,Technology,Other,Promatus Group,Seed Funding,27000.0,2016,6
1429,2016-08-08,Wefly Indoor Skydiving,Others,Mumbai,Swastika Company Ltd.,Seed Funding,40000.0,2016,8
1430,2016-08-08,Mojarto,eCommerce,Gurgaon,Undisclosed Investors,Seed Funding,445000.0,2016,8
1431,2016-08-08,Zipgrid,Consumer Internet,Mumbai,1Crowd (through crowd funding),Seed Funding,200000.0,2016,8
1434,2016-10-08,Vebbler,Consumer Internet,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,500000.0,2016,10
1435,2016-10-08,Bombay Shaving Company,eCommerce,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,600000.0,2016,10
1436,2016-11-08,Travelyaari,Consumer Internet,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,7000000.0,2016,11
1438,2016-11-08,Genextstudents,Consumer Internet,Mumbai,1Crowd (through crowdfunding),Seed Funding,209000.0,2016,11
1439,2016-11-08,Zenoti,Technology,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,15000000.0,2016,11
1440,2016-12-08,Crofarm,Technology,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000.0,2016,12
1441,2016-12-08,Faircent.com,Consumer Internet,Gurgaon,Brand Capital,Private Equity,1500000.0,2016,12
1442,2016-12-08,Innovaccer,Technology,Noida,Westbridge Capital Partners,Private Equity,15600000.0,2016,12
1443,2016-12-08,Cuberoot,Technology,Gurgaon,Undisclosed Investors,Seed Funding,500000.0,2016,12
1502,2016-01-07,Venture Catalysts,Consumer Internet,Mumbai,Zaffiro Ventures,Seed Funding,500000.0,2016,1
1504,2016-02-07,Playment,Consumer Internet,Bangalore,SAIF Partners,Private Equity,700000.0,2016,2
1506,2016-04-07,Curefit,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000.0,2016,4
1507,2016-04-07,StitchWood,eCommerce,Mumbai,Deepak Gupta,Seed Funding,200000.0,2016,4
1508,2016-04-07,Grab.in,Logistics,Mumbai,Aramex Ventures Llc,Private Equity,2000000.0,2016,4
1510,2016-04-07,NeoGrowth,Finance,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.0,2016,4
1511,2016-05-07,SeeDoc,Consumer Internet,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,1000000.0,2016,5
1512,2016-05-07,BookMyShow,Consumer Internet,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000.0,2016,5
1513,2016-05-07,Flyrobe,eCommerce,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,1700000.0,2016,5
1514,2016-06-07,HappilyUnmarried,eCommerce,New Delhi,Info Edge (India) Ltd,Private Equity,740000.0,2016,6
1515,2016-06-07,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000.0,2016,6
1516,2016-06-07,Wedding Wishlist,Consumer Internet,Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000.0,2016,6
1517,2016-07-07,AppDaily,Technology,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000.0,2016,7
1518,2016-07-07,Adytude,Consumer Internet,New Delhi,Indian Angel Network,Private Equity,1000000.0,2016,7
1522,2016-08-07,HolaChef,Consumer Internet,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.0,2016,8
1523,2016-11-07,Purplle,eCommerce,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000.0,2016,11
1524,2016-11-07,Trak N Tell,Technology,Gurgaon,Brian Acton,Private Equity,3500000.0,2016,11
1525,2016-11-07,Overcart.com,eCommerce,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.0,2016,11
1526,2016-12-07,SirionLabs,Technology,Gurgaon,Sequoia Capital,Private Equity,12250000.0,2016,12
1568,2016-02-06,Atomberg,Technology,Mumbai,Parampara Capital,Private Equity,1000000.0,2016,2
1570,2016-02-06,Limo,Consumer Internet,Mumbai,Rainmaker Ventures,Private Equity,1000000.0,2016,2
1572,2016-03-06,GoGo Truck,Consumer Internet,Chennai,Undisclosed Investor,Seed Funding,75000.0,2016,3
1573,2016-03-06,Vyome Biosciences,Healthcare,New Delhi,Romulus Capital,Private Equity,2000000.0,2016,3
1574,2016-06-06,SillyMonks,Consumer Internet,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000.0,2016,6
1575,2016-07-06,CueMath,Education,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000.0,2016,7
1576,2016-07-06,KrazyBee,Consumer Internet,Bangalore,"Yeahmobi, Fenqile",Private Equity,2000000.0,2016,7
1577,2016-07-06,Intgrea,Technology,Bangalore,Undisclosed Investor,Seed Funding,100000.0,2016,7
1578,2016-07-06,HelpShift,Technology,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000.0,2016,7
1579,2016-07-06,CreditVidya,Technology,Mumbai,Kalaari Capital,Private Equity,1000000.0,2016,7
1580,2016-08-06,Grey Campus,Consumer Internet,Hyderabad,Sarath Sura,Seed Funding,1000000.0,2016,8
1581,2016-08-06,ListUp,eCommerce,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000.0,2016,8
1582,2016-08-06,6Degree,Technology,Mumbai,Indian Angel Network,Seed Funding,200000.0,2016,8
1585,2016-08-06,StoreKing,eCommerce,Bangalore,Axiata Digital,Private Equity,16000000.0,2016,8
1587,2016-08-06,MySeniorDoctor,Consumer Internet,Gurgaon,BlackJag Partners,Seed Funding,200000.0,2016,8
1590,2016-09-06,EPayLater,Technology,Mumbai,3 undisclosed HNIs,Seed Funding,2000000.0,2016,9
1592,2016-10-06,Paytunes,Consumer Internet,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,500000.0,2016,10
1663,2016-01-05,Get My Parking,Technology,New Delhi,The Chennai Angels,Seed Funding,376000.0,2016,1
1664,2016-01-05,Prescribez,Consumer Internet,Pune,Ankush Mehta,Seed Funding,145000.0,2016,1
1666,2016-03-05,Mobikwik,Consumer Internet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,50000000.0,2016,3
1668,2016-03-05,Zwayam,Consumer Internet,Bangalore,Undisclosed investors,Seed Funding,250000.0,2016,3
1670,2016-03-05,Zuver,Consumer Internet,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,180000.0,2016,3
1672,2016-04-05,EasyRoads,Consumer Internet,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,200000.0,2016,4
1673,2016-04-05,Lenskart,eCommerce,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,60000000.0,2016,4
1674,2016-04-05,Seclore,Technology,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,12000000.0,2016,4
1675,2016-04-05,SolarTown,Technology,Chennai,Grex.in,Seed Funding,200000.0,2016,4
1676,2016-04-05,Comarete,Technology,Pune,Grex.in,Seed Funding,200000.0,2016,4
1677,2016-04-05,MyDentistChoice,eCommerce,Hyderabad,Undisclosed investors,Seed Funding,150000.0,2016,4
1678,2016-04-05,Active.ai,Technology,Other,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016,4
1679,2016-04-05,Affordplan,Technology,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016,4
1680,2016-04-05,Indee,Consumer Internet,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016,4
1682,2016-05-05,WebAlligator,Consumer Internet,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,375000.0,2016,5
1683,2016-06-05,EduAce Services,Education,Other,MoMagic Technologies,Private Equity,1000000.0,2016,6
1685,2016-07-05,Zebroads,Logistics,Hyderabad,Undisclosed investors,Seed Funding,75000.0,2016,7
1686,2016-09-05,Locus,Technology,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,2750000.0,2016,9
1687,2016-09-05,Toko Innovations,Consumer Internet,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,450000.0,2016,9
1688,2016-09-05,Rentickle,eCommerce,New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000.0,2016,9
1689,2016-10-05,HealthifyMe,Consumer Internet,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000.0,2016,10
1690,2016-10-05,Zarget,Consumer Internet,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000.0,2016,10
1691,2016-10-05,InnoNano Research,Technology,Chennai,NanoHoldings,Private Equity,18000000.0,2016,10
1692,2016-10-05,SchoolWear,eCommerce,Mumbai,Undisclosed investors,Seed Funding,1500000.0,2016,10
1693,2016-10-05,Swiggy,Consumer Internet,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,7000000.0,2016,10
1694,2016-11-05,Zenify,Consumer Internet,Bangalore,Undisclosed Investors,Private Equity,900000.0,2016,11
1696,2016-11-05,Fractal Analytics,Technology,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.0,2016,11
1697,2016-12-05,Unacademy,Consumer Internet,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000.0,2016,12
1698,2016-12-05,Capital Float,Consumer Internet,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000.0,2016,12
1699,2016-12-05,Life Circle,Healthcare,Hyderabad,GROUPE SOS,Private Equity,150000.0,2016,12
1741,2016-01-04,Dil Mil,Consumer Internet,Other,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,2700000.0,2016,1
1746,2016-04-04,Hungama,Consumer Internet,Mumbai,Xiaomi Inc,Private Equity,25000000.0,2016,4
1751,2016-06-04,Shipsy,Logistics,Gurgaon,DTDC Express Ltd,Private Equity,1000000.0,2016,6
1752,2016-06-04,gear6,Consumer Internet,Bangalore,Ninestarter,Seed Funding,500000.0,2016,6
1753,2016-06-04,MyGlamm,Consumer Internet,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,6000000.0,2016,6
1754,2016-06-04,Petoo,Consumer Internet,Bangalore,Axilor Ventures,Private Equity,1000000.0,2016,6
1758,2016-08-04,imedilane,Consumer Internet,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000.0,2016,8
1759,2016-11-04,Living Local,Consumer Internet,Mumbai,Rattan Chadha,Seed Funding,200000.0,2016,11
1761,2016-11-04,Oyo,Consumer Internet,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,100000000.0,2016,11
1762,2016-11-04,PriceRaja,Consumer Internet,Gurgaon,Prashant Puri,Seed Funding,300000.0,2016,11
1763,2016-12-04,MagicX,Consumer Internet,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,1000000.0,2016,12
1824,2016-02-03,MoMark,Consumer Internet,Noida,YourNest Angel Fund,Private Equity,600000.0,2016,2
1826,2016-02-03,Systemantics,Technology,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,1400000.0,2016,2
1828,2016-03-03,Imarticus Learning,Education,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,1000000.0,2016,3
1829,2016-03-03,Shouut,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,500000.0,2016,3
1831,2016-04-03,Aahaa,ECommerce,Chennai,"YourNest Angel Fund,",Private Equity,1000000.0,2016,4
1833,2016-04-03,FTCash,Consumer Internet,Kolkata,IvyCap Ventures,Seed Funding,150000.0,2016,4
1835,2016-04-03,Zappka,Consumer Internet,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed Funding,100000.0,2016,4
1837,2016-04-03,medECUBE,Healthcare,Gurgaon,Artiman Ventures,Private Equity,4000000.0,2016,4
1838,2016-07-03,N.O.W,Consumer Internet,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,500000.0,2016,7
1839,2016-07-03,Ninjacart,ECommerce,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,3000000.0,2016,7
1840,2016-07-03,Reach,Consumer Internet,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,500000.0,2016,7
1841,2016-07-03,Vanity Cube,Consumer Internet,New Delhi,Unicorn Ventures,Seed Funding,250000.0,2016,7
1843,2016-07-03,Medidaili,Consumer Internet,Bangalore,Undisclosed private investors,Seed Funding,100000.0,2016,7
1847,2016-08-03,LoveCycles,Consumer Internet,Bangalore,Prime Venture Partners,Seed Funding,750000.0,2016,8
1848,2016-08-03,Kartrocket,ECommerce,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,8000000.0,2016,8
1849,2016-08-03,dunzo,Consumer Internet,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,650000.0,2016,8
1851,2016-09-03,SmartVizX,Technology,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,500000.0,2016,9
1852,2016-09-03,MyGubbi,Real Estate,Bangalore,"Vipul Parekh, ajesh K Murthy,",Seed Funding,2500000.0,2016,9
1853,2016-09-03,Nukkad Shops,Consumer Internet,Hyderabad,PurpleTalk Inc,Seed Funding,1000000.0,2016,9
1855,2016-09-03,Justride,Consumer Internet,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,400000.0,2016,9
1857,2016-10-03,Big Fish Ventures,Food & Beverage,New Delhi,Undisclosed investors,Private Equity,11100000.0,2016,10
1859,2016-10-03,Icertis,Technology,Pune,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,15000000.0,2016,10
1860,2016-10-03,Supplified,ECommerce,New Delhi,Mohit Goel,Seed Funding,1000000.0,2016,10
1906,2016-02-02,Altizone,Technology,Pune,"Wipro Ventures,\\xc2\\xa0 Lumis Partners",Private Equity,4000000.0,2016,2
1908,2016-02-02,Strike,Consumer Internet,Bangalore,Multiple investors through Ten Minute Million competition,Seed Funding,22500.0,2016,2
1909,2016-02-02,MaaxMarket,Consumer Internet,Other,Multiple investors through Ten Minute Million competition,Seed Funding,22500.0,2016,2
1910,2016-02-02,Gamooz,Technology,Gurgaon,Multiple investors through Ten Minute Million competition,Seed Funding,22500.0,2016,2
1911,2016-02-02,SoundSurround,Technology,Mumbai,Multiple investors through Ten Minute Million competition,Seed Funding,22500.0,2016,2
1912,2016-03-02,Mazkara,Consumer Internet,Pune,Dunamis Ventures Pte Ltd.,Seed Funding,1000000.0,2016,3
1913,2016-03-02,RoadGods,ECommerce,New Delhi,Green House Ventures (GHV),Seed Funding,100000.0,2016,3
1914,2016-03-02,Pindropmusic,Consumer Internet,Noida,Green House Ventures (GHV),Seed Funding,100000.0,2016,3
1915,2016-03-02,Woodpie,Consumer Internet,Bangalore,Ingram Content Group,Seed Funding,30000.0,2016,3
1916,2016-04-02,Perfumery,ECommerce,New Delhi,Oranda Global & Others,Seed Funding,30000.0,2016,4
1918,2016-05-02,ZenDrive,Technology,Bangalore,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,13500000.0,2016,5
1922,2016-05-02,Gingercrush,Ecommerce,Other,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,1000000.0,2016,5
1923,2016-05-02,American Vision,Consumer Internet,Pune,Undisclosed investors,Seed Funding,81000.0,2016,5
1924,2016-05-02,DawaiLelo,Consumer Internet,Other,Undisclosed investors,Seed Funding,52000.0,2016,5
1925,2016-06-02,Heads Up For Tails,Ecommerce,New Delhi,Undisclosed investors,Seed Funding,1000000.0,2016,6
1928,2016-08-02,iStyleYou,Consumer Internet,Gurgaon,Green House Ventures (GHV),Seed Funding,100000.0,2016,8
1929,2016-08-02,AdUrCup,Consumer Internet,New Delhi,Green House Ventures (GHV),Seed Funding,100000.0,2016,8
1933,2016-08-02,Xpressbees,ECommerce,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,12500000.0,2016,8
1938,2016-10-02,Capzest,Consumer Internet,Mumbai,Lion Ventures,Seed Funding,200000.0,2016,10
1940,2016-10-02,Affimity,Consumer Internet,Bangalore,undisclosed investors,Seed Funding,1200000.0,2016,10
1941,2016-10-02,Anandakanda,Technology,Pune,undisclosed investors,Seed Funding,150000.0,2016,10
1946,2016-12-02,ActOnMagic,Technology,Bangalore,Jayabalan Subramanian,Seed Funding,125000.0,2016,12
1947,2016-12-02,Bonhomia,Food & Beverage,New Delhi,"Alok Rawat, Grey Orange Robotics",Seed Funding,1000000.0,2016,12
1948,2016-12-02,iGrenEnergi,Technology,Mumbai,Sunil Mehta,Seed Funding,1000000.0,2016,12
1949,2016-12-02,RKSV,Consumer Internet,Mumbai,Kalaari Capital,Private Equity,4000000.0,2016,12
2009,2016-04-01,B9 Beverages,Food & Beverage,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000.0,2016,4
2011,2016-05-01,MyChild App,Education,Other,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,100000.0,2016,5
2013,2016-05-01,360Ride,Consumer Internet,Bangalore,Undisclosed,Seed Funding,150000.0,2016,5
2014,2016-05-01,Alef\\nMobitech,Consumer Internet,Mumbai,Tata Capital Innovation Fund,Private Equity,5000000.0,2016,5
2017,2016-06-01,Sensara,Technology,Bangalore,"Lalitesh Katragadda,\\xc2\\xa0 Ganayantrika Systems",Seed Funding,750000.0,2016,6
2018,2016-06-01,Zebpay,Consumer Internet,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000.0,2016,6
2019,2016-06-01,PlanMy\\nMedicalTrip,Healthcare,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,150000.0,2016,6
2020,2016-06-01,MyCity4Kids,Education,Gurgaon,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000.0,2016,6
2021,2016-06-01,Justdakhila.com,Education,New Delhi,Ankur Gupta,Seed Funding,750000.0,2016,6
2024,2016-07-01,Infurnia,Consumer Internet,Bangalore,Idein Ventures,Seed Funding,160000.0,2016,7
2025,2016-07-01,Myly,Education,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,100000.0,2016,7
2026,2016-07-01,MakeMyTrip,Consumer Internet,Gurgaon,Ctrip.com International Ltd,Private Equity,180000000.0,2016,7
2027,2016-08-01,Melorra,ECommerce,Bangalore,Lightbox Ventures,Private Equity,5000000.0,2016,8
2028,2016-08-01,ConfirmTKT,Consumer Internet,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000.0,2016,8
2029,2016-08-01,Gyaanzone,Education,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,45000.0,2016,8
2032,2016-11-01,Koovs,ECommerce,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,5400000.0,2016,11
2034,2016-11-01,FreshMenu,Consumer Internet,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000.0,2016,11
2035,2016-11-01,SavvyMob,ECommerce,Bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000.0,2016,11
2037,2016-12-01,Shopclues,ECommerce,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000.0,2016,12
2039,2016-12-01,iBus Networks,Technology,Bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000.0,2016,12
2040,2016-12-01,Happy2Refer,Consumer Internet,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,250000.0,2016,12
2109,2015-01-12,CollegeDekho,Online Education Information platform,Jaipur,GirnarSoft,Seed Funding,1000000.0,2015,1
2112,2015-01-12,Patel Logistics,Transportation & Logistics Platform,Mumbai,Frontline Strategy,Private Equity,5600000.0,2015,1
